c_custkey,c_name,c_address,c_city,c_nation,c_region,c_phone,c_mktsegment
20,Customer#000000020,i bGScA,RUSSIA   4,RUSSIA,EUROPE,32-466-916-8135,FURNITURE
21,Customer#000000021,42E5BARt,INDIA    8,INDIA,ASIA,18-667-987-3718,MACHINERY
22,Customer#000000022,"biUBW,0ldzWGT91Do",CANADA   9,CANADA,AMERICA,13-925-151-9771,MACHINERY
23,Customer#000000023,"dN2r4,XdTpNXcoVfBK",CANADA   4,CANADA,AMERICA,13-113-202-7085,HOUSEHOLD
24,Customer#000000024,k3qlKjqtHuzNAvIFyZX2Yc,JORDAN   0,JORDAN,MIDDLE EAST,23-558-935-8773,MACHINERY
25,Customer#000000025,kBSktmaKkjm28,JAPAN    5,JAPAN,ASIA,22-789-801-2873,FURNITURE
26,Customer#000000026,TFH OW1Me,RUSSIA   0,RUSSIA,EUROPE,32-540-121-5663,AUTOMOBILE
27,Customer#000000027,j8SkiuuBp ,CANADA   7,CANADA,AMERICA,13-811-790-3533,BUILDING
28,Customer#000000028,"J5tK,OQa07KQSuY",INDIA    5,INDIA,ASIA,18-367-742-4090,FURNITURE
29,Customer#000000029, hVQNzLtqGpgUXNMY0wl,ALGERIA  8,ALGERIA,AFRICA,10-260-205-9116,FURNITURE
30,Customer#000000030,EhnzmgkqQw7UXhF0PVdg gLf,ARGENTINA3,ARGENTINA,AMERICA,11-396-743-8684,BUILDING
31,Customer#000000031,"g6qoPd,wIQrwUM3dq",UNITED KI2,UNITED KINGDOM,EUROPE,33-864-813-2575,HOUSEHOLD
32,Customer#000000032,InYu1tIr6EjN0nozdpf3hH,MOROCCO  5,MOROCCO,AFRICA,25-310-645-6928,BUILDING
33,Customer#000000033,Bl8FeyfxOpFuRuDEV,PERU     4,PERU,AMERICA,27-450-116-1239,AUTOMOBILE
34,Customer#000000034,bUkRv2UNDOtEycuW,MOROCCO  4,MOROCCO,AFRICA,25-997-704-1110,HOUSEHOLD
35,Customer#000000035,8mH4knWD,PERU     9,PERU,AMERICA,27-399-186-7550,HOUSEHOLD
36,Customer#000000036,"Y7wosIxbsBi,0",VIETNAM  9,VIETNAM,ASIA,31-420-712-5063,BUILDING
37,Customer#000000037,Um5WbwJ0X8,INDIA    8,INDIA,ASIA,18-983-923-8985,FURNITURE
38,Customer#000000038,RVmMVNRVUSaS,JAPAN    8,JAPAN,ASIA,22-102-347-8343,HOUSEHOLD
39,Customer#000000039,EDP9K1bwtXYNLGC,BRAZIL   3,BRAZIL,AMERICA,12-221-133-2233,AUTOMOBILE
40,Customer#000000040,LcDk4rtJ,CANADA   1,CANADA,AMERICA,13-702-315-6637,BUILDING
41,Customer#000000041,jeREsFtCuMqEwdvTFqT,IRAN     9,IRAN,MIDDLE EAST,20-761-987-7777,HOUSEHOLD
42,Customer#000000042,tI8 wu,ETHIOPIA 6,ETHIOPIA,AFRICA,15-925-597-9911,BUILDING
43,Customer#000000043,Dx8PHkGSFJWLg3XtkzCX,ROMANIA  4,ROMANIA,EUROPE,29-978-597-2747,MACHINERY
44,Customer#000000044,dI0Nc9bvnxXHCWu10bSV,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-489-845-4801,AUTOMOBILE
45,Customer#000000045,XwXcOClKCcFek0,INDONESIA6,INDONESIA,ASIA,19-242-974-5799,AUTOMOBILE
46,Customer#000000046,NQ7345E,FRANCE   8,FRANCE,EUROPE,16-177-329-4316,AUTOMOBILE
47,Customer#000000047,"Q,6KCP8Am4W",BRAZIL   5,BRAZIL,AMERICA,12-873-931-2886,BUILDING
48,Customer#000000048,076rIcJpxB,ALGERIA  5,ALGERIA,AFRICA,10-473-731-8352,BUILDING
49,Customer#000000049,PdKqM4TlA OLTjaeRmvH7Q,IRAN     1,IRAN,MIDDLE EAST,20-656-678-1337,FURNITURE
50,Customer#000000050,S8sn2GGsuput,FRANCE   9,FRANCE,EUROPE,16-842-586-1263,MACHINERY
51,Customer#000000051,y90vmRI,JAPAN    8,JAPAN,ASIA,22-610-541-4787,FURNITURE
52,Customer#000000052,"UracAlAA8tSHL5V,",IRAQ     1,IRAQ,MIDDLE EAST,21-254-389-5987,HOUSEHOLD
53,Customer#000000053,kDQujt7Ll72zSexpBht7,MOROCCO  0,MOROCCO,AFRICA,25-715-573-6928,HOUSEHOLD
54,Customer#000000054,1GWwLsVwmol4,EGYPT    3,EGYPT,MIDDLE EAST,14-416-434-3449,AUTOMOBILE
55,Customer#000000055,ti9p9XgdmFsjsQI6XQrISDU,IRAN     1,IRAN,MIDDLE EAST,20-916-820-5158,MACHINERY
56,Customer#000000056,qh212iaG,IRAN     0,IRAN,MIDDLE EAST,20-379-993-4446,FURNITURE
57,Customer#000000057,ST32P xc,VIETNAM  5,VIETNAM,ASIA,31-952-164-8914,AUTOMOBILE
58,Customer#000000058,LRQBToGZ8wSLO3m5HBe,JORDAN   0,JORDAN,MIDDLE EAST,23-675-750-9832,HOUSEHOLD
59,Customer#000000059,tfcob0wJRYdyp,ARGENTINA5,ARGENTINA,AMERICA,11-834-287-1466,MACHINERY
60,Customer#000000060,mtCNJIveoJ 1,JAPAN    8,JAPAN,ASIA,22-987-901-3986,MACHINERY
61,Customer#000000061,SGDNwNWmqhvJKXwNlrpL4 Tq,PERU     5,PERU,AMERICA,27-983-203-6472,FURNITURE
62,Customer#000000062,yBhgYoD,GERMANY  6,GERMANY,EUROPE,17-728-355-4532,MACHINERY
63,Customer#000000063,j398B644,VIETNAM  7,VIETNAM,ASIA,31-613-882-5677,AUTOMOBILE
64,Customer#000000064,"fPoMk3Y,GQhg",CANADA   6,CANADA,AMERICA,13-329-655-5068,BUILDING
65,Customer#000000065,"ak7rtta,tWG,jR,cTSXflW6R",UNITED KI0,UNITED KINGDOM,EUROPE,33-759-858-2984,AUTOMOBILE
66,Customer#000000066,4PzmA4jZm7Q,RUSSIA   1,RUSSIA,EUROPE,32-594-508-9621,HOUSEHOLD
67,Customer#000000067,"ALk,OdKy V5Srui",INDONESIA6,INDONESIA,ASIA,19-917-453-2490,MACHINERY
68,Customer#000000068,DSqIPPo9G3xa,JAPAN    3,JAPAN,ASIA,22-582-501-2346,HOUSEHOLD
69,Customer#000000069,gyuZTEcR4vKyNPMSa15ueKbR,INDONESIA0,INDONESIA,ASIA,19-471-280-4789,HOUSEHOLD
70,Customer#000000070,FlCviyJDjHCYkHoJ22Qw,RUSSIA   1,RUSSIA,EUROPE,32-839-426-4266,FURNITURE
71,Customer#000000071,8FkQFLN34pFe50URKft43nti,GERMANY  9,GERMANY,EUROPE,17-593-213-9388,HOUSEHOLD
72,Customer#000000072,CxyHFFzGum1sz0jBMiqR5Ax,BRAZIL   2,BRAZIL,AMERICA,12-774-971-2700,FURNITURE
73,Customer#000000073,TiJiuAMxW6L,ALGERIA  3,ALGERIA,AFRICA,10-769-230-8609,BUILDING
74,Customer#000000074,jGhjorX17JmTAfT6gO ,EGYPT    5,EGYPT,MIDDLE EAST,14-543-819-4391,MACHINERY
75,Customer#000000075,oJrUH20Ovu5fgaLa,CHINA    1,CHINA,ASIA,28-299-640-9565,AUTOMOBILE
76,Customer#000000076,FXzPoxHecjuQcCLk,ALGERIA  0,ALGERIA,AFRICA,10-710-820-8362,FURNITURE
77,Customer#000000077,XyqmVhNelkoWP,PERU     6,PERU,AMERICA,27-398-309-9122,BUILDING
78,Customer#000000078,kpcyQ11dABLX6YO9f,INDONESIA7,INDONESIA,ASIA,19-508-735-4910,FURNITURE
79,Customer#000000079,EVJjYMyG59w4S,MOROCCO  7,MOROCCO,AFRICA,25-146-696-9508,MACHINERY
80,Customer#000000080,h0wy3CS,ALGERIA  0,ALGERIA,AFRICA,10-593-663-2200,FURNITURE
81,Customer#000000081,9jUFbrThIIe,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-809-878-5822,BUILDING
82,Customer#000000082,tJkXm2PQBWPRRYk,CHINA    9,CHINA,ASIA,28-233-924-7389,AUTOMOBILE
83,Customer#000000083,"kDJ7dqVuBD9lY,hqjW2",RUSSIA   9,RUSSIA,EUROPE,32-566-251-5446,BUILDING
84,Customer#000000084,GB3sUmv RRXV DPzeOSbG,IRAQ     4,IRAQ,MIDDLE EAST,21-456-286-6398,FURNITURE
85,Customer#000000085, I9M GnvICGJ29rT,ETHIOPIA 5,ETHIOPIA,AFRICA,15-269-224-9902,FURNITURE
86,Customer#000000086,78Umklj3P783bfR,ALGERIA  8,ALGERIA,AFRICA,10-682-293-3599,HOUSEHOLD
87,Customer#000000087,KKkJj684aF,UNITED KI9,UNITED KINGDOM,EUROPE,33-149-119-1456,FURNITURE
88,Customer#000000088,wyGHpeRMt mxmd8fEel,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-210-546-2836,AUTOMOBILE
89,Customer#000000089,Oy90ruRha47cUlC,KENYA    7,KENYA,AFRICA,24-325-146-3591,FURNITURE
90,Customer#000000090,buosjU5uu2,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-489-760-5455,BUILDING
91,Customer#000000091,9Sce2m BjvDdjQkqMx8Unr,INDIA    4,INDIA,ASIA,18-741-688-4189,AUTOMOBILE
92,Customer#000000092,DPbrb7fGYfkrfAdm0gRJPPdA,BRAZIL   1,BRAZIL,AMERICA,12-804-421-1703,MACHINERY
93,Customer#000000093,nj3p Z,GERMANY  9,GERMANY,EUROPE,17-391-870-8153,MACHINERY
94,Customer#000000094,jL5dieRgyG9OhRN7HgXb,INDONESIA5,INDONESIA,ASIA,19-646-375-1939,HOUSEHOLD
95,Customer#000000095,"n6,uwF4wcE76DVh1YsS",MOROCCO  2,MOROCCO,AFRICA,25-131-151-7466,MACHINERY
96,Customer#000000096,x4fc F,INDIA    5,INDIA,ASIA,18-923-916-5643,AUTOMOBILE
97,Customer#000000097,"dqBtMIPJhk1,",PERU     6,PERU,AMERICA,27-613-651-2263,AUTOMOBILE
98,Customer#000000098,UtIJM4d8Bxn,JAPAN    6,JAPAN,ASIA,22-282-178-6799,BUILDING
99,Customer#000000099, sz cJbyoj,MOROCCO  0,MOROCCO,AFRICA,25-865-140-8680,HOUSEHOLD
100,Customer#000000100,MBy6qq3O,SAUDI ARA5,SAUDI ARABIA,MIDDLE EAST,30-351-119-7514,FURNITURE
101,Customer#000000101, eEfYAdMjnG,BRAZIL   6,BRAZIL,AMERICA,12-323-784-5793,MACHINERY
102,Customer#000000102,"7qyLFi,UrLERspLhH",ROMANIA  6,ROMANIA,EUROPE,29-549-296-5659,BUILDING
103,Customer#000000103,Tgiza4WfhTbezHUo yl,INDONESIA4,INDONESIA,ASIA,19-741-513-6919,BUILDING
104,Customer#000000104,SEOogsfT y09vI2z P,IRAN     5,IRAN,MIDDLE EAST,20-998-886-1551,FURNITURE
105,Customer#000000105,XI8hMXfr8bIKTG,IRAN     5,IRAN,MIDDLE EAST,20-991-405-7914,MACHINERY
106,Customer#000000106,vkocmr,ARGENTINA4,ARGENTINA,AMERICA,11-468-275-6045,MACHINERY
107,Customer#000000107,2vKUW710ATl9ACXtE,MOROCCO  1,MOROCCO,AFRICA,25-796-903-4461,AUTOMOBILE
108,Customer#000000108,lbCMmx,ETHIOPIA 5,ETHIOPIA,AFRICA,15-796-490-6026,BUILDING
109,Customer#000000109,dccG2qKoesLea36FGCOCg,MOZAMBIQU7,MOZAMBIQUE,AFRICA,26-117-812-5493,BUILDING
110,Customer#000000110,FtEbLLBJQ,IRAN     0,IRAN,MIDDLE EAST,20-459-427-9559,AUTOMOBILE
111,Customer#000000111,pp8Pbuc49CAFCHY8p,RUSSIA   0,RUSSIA,EUROPE,32-306-725-3622,MACHINERY
112,Customer#000000112,aOLKkYPcTaNo,ROMANIA  5,ROMANIA,EUROPE,29-843-486-5087,FURNITURE
113,Customer#000000113,NQcFV7p3iwO2VT LFQ,JAPAN    3,JAPAN,ASIA,22-595-832-3185,BUILDING
114,Customer#000000114,vqyrVMV,KENYA    0,KENYA,AFRICA,24-209-782-4244,FURNITURE
115,Customer#000000115,"05lyZj3mdE77YpKQzp,8K5g",INDIA    2,INDIA,ASIA,18-500-408-6392,HOUSEHOLD
116,Customer#000000116,uox5ujKz1X1Atg,MOZAMBIQU1,MOZAMBIQUE,AFRICA,26-501-849-6084,BUILDING
117,Customer#000000117,ydJe0csz9qY80V2,UNITED ST3,UNITED STATES,AMERICA,34-660-518-8009,FURNITURE
118,Customer#000000118,d5DlxktKgR,CHINA    5,CHINA,ASIA,28-605-635-8197,AUTOMOBILE
119,Customer#000000119,fZm7cjMOxwkSnye,GERMANY  5,GERMANY,EUROPE,17-498-699-7824,FURNITURE
120,Customer#000000120,tpdDQ00rm,JAPAN    6,JAPAN,ASIA,22-575-838-4260,MACHINERY
121,Customer#000000121,zwrDoaY2gxCk,PERU     9,PERU,AMERICA,27-174-552-2949,BUILDING
122,Customer#000000122,uBVzFBCdNYVFqmd24X,CANADA   7,CANADA,AMERICA,13-633-109-9587,HOUSEHOLD
123,Customer#000000123,3zcDQRm9SeHwg,ETHIOPIA 5,ETHIOPIA,AFRICA,15-542-178-2520,BUILDING
124,Customer#000000124,R7Pt5r4Vy,CHINA    4,CHINA,ASIA,28-316-638-4703,AUTOMOBILE
125,Customer#000000125,1v813O59ruviiLESzSi7uf,ROMANIA  6,ROMANIA,EUROPE,29-923-317-3870,FURNITURE
126,Customer#000000126,KQWmjFPuXGLrn2o bUnlN6,RUSSIA   6,RUSSIA,EUROPE,32-168-233-7513,HOUSEHOLD
127,Customer#000000127,4tKMWo3Y 3hu3ttNZ1WTg,VIETNAM  4,VIETNAM,ASIA,31-815-316-3525,MACHINERY
128,Customer#000000128,rEg6eGhLYdaj,EGYPT    4,EGYPT,MIDDLE EAST,14-195-384-1105,HOUSEHOLD
129,Customer#000000129,"BTET Qee,pCQoNEvFCoKq",GERMANY  4,GERMANY,EUROPE,17-900-572-2883,HOUSEHOLD
130,Customer#000000130,"agbuYdL1t,6DrSvl41TlZ",INDONESIA7,INDONESIA,ASIA,19-513-973-2702,HOUSEHOLD
131,Customer#000000131,"ItdUFrHPZlzjZ, fo",IRAQ     5,IRAQ,MIDDLE EAST,21-731-915-9753,HOUSEHOLD
132,Customer#000000132,beV2QQq,EGYPT    2,EGYPT,MIDDLE EAST,14-154-285-2634,HOUSEHOLD
133,Customer#000000133,jeox3OBiwNH2cRYHKn,PERU     6,PERU,AMERICA,27-110-948-6754,AUTOMOBILE
134,Customer#000000134, 6I1TTaoG7bbiogC,IRAQ     2,IRAQ,MIDDLE EAST,21-880-175-5173,BUILDING
135,Customer#000000135,"D1g0Cp,rL",ROMANIA  7,ROMANIA,EUROPE,29-959-576-4327,FURNITURE
136,Customer#000000136,bCfzh0xVoZj,GERMANY  5,GERMANY,EUROPE,17-617-726-2039,FURNITURE
137,Customer#000000137,PN4RZCRY FrmjK,MOZAMBIQU9,MOZAMBIQUE,AFRICA,26-658-938-1102,HOUSEHOLD
138,Customer#000000138,WxtfqN2Tjil1A,ETHIOPIA 2,ETHIOPIA,AFRICA,15-722-370-5220,MACHINERY
139,Customer#000000139,"YmFwpwxNjgg,YTX",INDONESIA4,INDONESIA,ASIA,19-309-302-6776,MACHINERY
140,Customer#000000140,49AmbJgKOm8ii0,EGYPT    5,EGYPT,MIDDLE EAST,14-215-156-3727,MACHINERY
141,Customer#000000141,Wi404ac5DIHOXFTovI6nl,ARGENTINA7,ARGENTINA,AMERICA,11-560-854-2068,FURNITURE
142,Customer#000000142,rDhVFvyfHIDoF YHJ,INDONESIA9,INDONESIA,ASIA,19-610-582-8610,AUTOMOBILE
143,Customer#000000143,VSZ YZxfWVZsAGrTp,MOZAMBIQU6,MOZAMBIQUE,AFRICA,26-743-559-7934,MACHINERY
144,Customer#000000144,6u21XNPJKPGyDMyRkHdoTAoO,ARGENTINA8,ARGENTINA,AMERICA,11-121-555-4268,MACHINERY
145,Customer#000000145,HaHjEzYGOMPrOt,JORDAN   5,JORDAN,MIDDLE EAST,23-913-438-9403,HOUSEHOLD
146,Customer#000000146,lNuGN4kRxTJtiZ01,CANADA   2,CANADA,AMERICA,13-154-354-9928,FURNITURE
147,Customer#000000147,V5wivQ5NEO esxx1oSWk,CHINA    1,CHINA,ASIA,28-793-504-2931,AUTOMOBILE
148,Customer#000000148,qJ8bFn4kwiit7,IRAQ     8,IRAQ,MIDDLE EAST,21-403-226-2580,HOUSEHOLD
149,Customer#000000149,YPt7jpBYEdg,ROMANIA  2,ROMANIA,EUROPE,29-158-697-9591,AUTOMOBILE
150,Customer#000000150,tMCk8K7HovlbBFc5lGf6a J,CHINA    6,CHINA,ASIA,28-235-587-1274,MACHINERY
151,Customer#000000151,gFtmyem37UHG,ROMANIA  0,ROMANIA,EUROPE,29-658-550-2257,HOUSEHOLD
152,Customer#000000152,cn FF9G8OggJWF,INDIA    9,INDIA,ASIA,18-924-993-6038,BUILDING
153,Customer#000000153,"HnsuZ,zi",FRANCE   2,FRANCE,EUROPE,16-817-126-3646,HOUSEHOLD
154,Customer#000000154,ZfqF6sLnjGdAP3H,ROMANIA  8,ROMANIA,EUROPE,29-646-595-5871,FURNITURE
155,Customer#000000155,G0z8BKI8ye,ALGERIA  2,ALGERIA,AFRICA,10-395-247-2207,AUTOMOBILE
156,Customer#000000156,"Wc8,MO3Y2UqZOLRwhd",INDONESIA9,INDONESIA,ASIA,19-267-298-7503,AUTOMOBILE
157,Customer#000000157,kkmCxtoOl eNrDprNzo9Izeu,MOROCCO  5,MOROCCO,AFRICA,25-704-408-2991,BUILDING
158,Customer#000000158,"ZjQ2uJ,hZUZ,QCi,",IRAN     1,IRAN,MIDDLE EAST,20-175-799-9168,AUTOMOBILE
159,Customer#000000159,hCyzNocUmjEtz5xSY,IRAN     4,IRAN,MIDDLE EAST,20-731-806-1019,HOUSEHOLD
160,Customer#000000160,WzC5aYNco,JORDAN   7,JORDAN,MIDDLE EAST,23-176-116-3113,MACHINERY
161,Customer#000000161,ZC9Gu1d,GERMANY  4,GERMANY,EUROPE,17-835-631-4258,MACHINERY
162,Customer#000000162,imXRS 31yYbxg3LiNT,INDIA    1,INDIA,ASIA,18-757-455-7898,MACHINERY
163,Customer#000000163,dK kOdDE,VIETNAM  7,VIETNAM,ASIA,31-232-719-3610,FURNITURE
164,Customer#000000164,3n4VZcp4f3,EGYPT    0,EGYPT,MIDDLE EAST,14-714-322-4800,HOUSEHOLD
165,Customer#000000165,TBOUGwpEvpOmDL5cVX,ALGERIA  4,ALGERIA,AFRICA,10-544-657-7473,HOUSEHOLD
166,Customer#000000166,",Vj4kzvCbTUmhLNSVjuyf",IRAN     3,IRAN,MIDDLE EAST,20-283-847-8946,FURNITURE
167,Customer#000000167,bdOYMdF9isgUHByKvKn,ETHIOPIA 2,ETHIOPIA,AFRICA,15-526-143-3959,AUTOMOBILE
168,Customer#000000168,lnOfVB6SUbT0CQ7w5pofnUQz,JAPAN    7,JAPAN,ASIA,22-851-493-8588,FURNITURE
169,Customer#000000169,eHJEjRT,CHINA    3,CHINA,ASIA,28-102-635-4835,FURNITURE
170,Customer#000000170,WaEuE3xPdJEUjqKgv7wB,MOROCCO  3,MOROCCO,AFRICA,25-856-112-5677,BUILDING
171,Customer#000000171,aiJHhp yJSS,GERMANY  0,GERMANY,EUROPE,17-761-371-4753,MACHINERY
172,Customer#000000172,hvKNg7fZkY5QO,RUSSIA   5,RUSSIA,EUROPE,32-405-614-4887,MACHINERY
173,Customer#000000173,rxMTg6s0lIE8jBCxr5GVN,INDONESIA4,INDONESIA,ASIA,19-456-377-3723,BUILDING
174,Customer#000000174,aVrLoce8Mn4,UNITED KI2,UNITED KINGDOM,EUROPE,33-463-652-6686,FURNITURE
175,Customer#000000175,T2gZ1u7AC2Yve4DnuFWIz,IRAN     1,IRAN,MIDDLE EAST,20-903-936-7924,FURNITURE
176,Customer#000000176,SJpMB3YxsSTjFoA8Cc,JORDAN   9,JORDAN,MIDDLE EAST,23-941-650-8313,FURNITURE
177,Customer#000000177,Vvsmgct1mROEpoh2,ARGENTINA8,ARGENTINA,AMERICA,11-765-163-9750,BUILDING
178,Customer#000000178,Crj68oKSoKRDWlHTn wOOsW,VIETNAM  4,VIETNAM,ASIA,31-702-179-3134,FURNITURE
179,Customer#000000179,"OHMsXp4K,DE",EGYPT    3,EGYPT,MIDDLE EAST,14-940-483-5702,MACHINERY
180,Customer#000000180,o8k4XalC2hnrCB5w02,JORDAN   8,JORDAN,MIDDLE EAST,23-844-576-7345,FURNITURE
181,Customer#000000181,3dwI4Or4 9H1w8,INDONESIA1,INDONESIA,ASIA,19-478-388-5881,FURNITURE
182,Customer#000000182,zNvwKNBkXZVo,CANADA   1,CANADA,AMERICA,13-850-576-7450,AUTOMOBILE
183,Customer#000000183,ReqpYb8PS,RUSSIA   0,RUSSIA,EUROPE,32-920-256-8525,HOUSEHOLD
184,Customer#000000184,yCcBpy9 WYMZ4iAE52qJv,VIETNAM  1,VIETNAM,ASIA,31-975-574-2063,AUTOMOBILE
185,Customer#000000185,Jj3saL,ETHIOPIA 4,ETHIOPIA,AFRICA,15-808-670-2983,BUILDING
186,Customer#000000186,qM5 UfsQCPqmd39qo,CANADA   3,CANADA,AMERICA,13-413-365-2022,HOUSEHOLD
187,Customer#000000187,diFK9VCi936VKUXBV2k,EGYPT    8,EGYPT,MIDDLE EAST,14-210-617-3870,FURNITURE
188,Customer#000000188,WS8 zVKmmCoX1LvL3neZdQt,ETHIOPIA 4,ETHIOPIA,AFRICA,15-388-689-9272,BUILDING
189,Customer#000000189,AVZj8Br9KSwaKlZp,RUSSIA   4,RUSSIA,EUROPE,32-176-517-4263,MACHINERY
190,Customer#000000190,"mY30kK8AfsTGrx,L4zI   Ql",IRAQ     6,IRAQ,MIDDLE EAST,21-368-832-9671,AUTOMOBILE
191,Customer#000000191,cZMo3 b4Gw,MOZAMBIQU3,MOZAMBIQUE,AFRICA,26-575-775-4059,BUILDING
192,Customer#000000192,AnEpYPRNZpiartUa,IRAN     0,IRAN,MIDDLE EAST,20-392-500-4370,MACHINERY
193,Customer#000000193,O67WNzzb71V1BG4gO0gk,UNITED KI8,UNITED KINGDOM,EUROPE,33-404-953-9048,MACHINERY
194,Customer#000000194,FGzgJO4xaZCHPOWuL,MOZAMBIQU8,MOZAMBIQUE,AFRICA,26-633-470-5945,HOUSEHOLD
195,Customer#000000195,5IAanTJzOthMGHeP8p,RUSSIA   9,RUSSIA,EUROPE,32-973-990-6608,AUTOMOBILE
196,Customer#000000196,VS9zyeC,CHINA    9,CHINA,ASIA,28-554-411-6773,FURNITURE
197,Customer#000000197,7M5Az MBdx,ARGENTINA7,ARGENTINA,AMERICA,11-994-609-7082,AUTOMOBILE
198,Customer#000000198,1TLO1ki6D0M6,ARGENTINA1,ARGENTINA,AMERICA,11-670-423-7529,AUTOMOBILE
199,Customer#000000199,Gp6XuGF0QTNR72EYr6tHob,EGYPT    5,EGYPT,MIDDLE EAST,14-909-693-7833,FURNITURE
200,Customer#000000200,vZrjVPUUn6LjYBKe7,MOZAMBIQU0,MOZAMBIQUE,AFRICA,26-555-630-2261,BUILDING
201,Customer#000000201,u4fyEOVxztIzow,BRAZIL   8,BRAZIL,AMERICA,12-439-495-8236,MACHINERY
202,Customer#000000202,"b,xhZM o",GERMANY  5,GERMANY,EUROPE,17-606-236-5778,AUTOMOBILE
203,Customer#000000203,ZL9FxQJrF4aIDo,ARGENTINA8,ARGENTINA,AMERICA,11-855-429-9109,MACHINERY
204,Customer#000000204,U6TxYh,FRANCE   2,FRANCE,EUROPE,16-861-760-4796,BUILDING
205,Customer#000000205,Ic7aplPrDJMpexX1fi,JAPAN    8,JAPAN,ASIA,22-732-989-5653,BUILDING
206,Customer#000000206,vzK0MK9j8VdgAtpa,INDONESIA5,INDONESIA,ASIA,19-888-883-2475,AUTOMOBILE
207,Customer#000000207,NvsVheDu,VIETNAM  3,VIETNAM,ASIA,31-333-779-5333,AUTOMOBILE
208,Customer#000000208,"rPtMZfvOdL3,g",ROMANIA  8,ROMANIA,EUROPE,29-531-319-7726,MACHINERY
209,Customer#000000209,JpwEud15XA4e2a4,MOZAMBIQU5,MOZAMBIQUE,AFRICA,26-776-223-5427,FURNITURE
210,Customer#000000210,",XOlfSzkZDAkm",SAUDI ARA9,SAUDI ARABIA,MIDDLE EAST,30-997-929-2765,HOUSEHOLD
211,Customer#000000211,79JF5css,JORDAN   4,JORDAN,MIDDLE EAST,23-575-731-2159,BUILDING
212,Customer#000000212,",R6,I2Xky",GERMANY  5,GERMANY,EUROPE,17-714-618-2239,BUILDING
213,Customer#000000213,eBAe2qJpO4,UNITED ST7,UNITED STATES,AMERICA,34-585-173-1514,HOUSEHOLD
214,Customer#000000214,fBovJPf POjeTqM,INDIA    8,INDIA,ASIA,18-342-269-3824,MACHINERY
215,Customer#000000215,"TjTUuQpJNMsj2T,q 2Aknl",INDONESIA3,INDONESIA,ASIA,19-941-606-7227,FURNITURE
216,Customer#000000216,g3jTv9wWiUlkU7qHf,VIETNAM  1,VIETNAM,ASIA,31-457-910-7430,FURNITURE
217,Customer#000000217,"3it,VaeNyJA3",UNITED KI7,UNITED KINGDOM,EUROPE,33-566-341-4382,AUTOMOBILE
